path,expected_fruit,expected_quality,predicted_species,predicted_quality,correct,colour_quality,colour_confidence,defect_ripeness,defect_percentage,stem_detected,quality_note
D:\Image Processing\ImageProcessing_ASS\dataset\train\freshapples\Screen Shot 2018-06-08 at 5.11.02 PM.png,Apple,Fresh,Apple,Fresh,True,Fresh,1.0,Fresh,0.6229947123978192,True,colour KNN won (100% vs defect ripeness rule 97%); Stem present
D:\Image Processing\ImageProcessing_ASS\dataset\train\freshapples\Screen Shot 2018-06-08 at 5.10.21 PM.png,Apple,Fresh,Apple,Fresh,True,Fresh,1.0,Fresh,0.12605798667387,True,colour KNN won (100% vs defect ripeness rule 93%); Stem present
D:\Image Processing\ImageProcessing_ASS\dataset\train\freshapples\FreshApple (133).jpg,Apple,Fresh,Apple,Fresh,True,Fresh,1.0,Fresh,0.3216432968511194,True,colour KNN won (100% vs defect ripeness rule 89%); Stem present
D:\Image Processing\ImageProcessing_ASS\dataset\train\freshapples\FreshApple (116).jpg,Apple,Fresh,Apple,Fresh,True,Fresh,1.0,Fresh,0.0,False,colour KNN won (100% vs defect ripeness rule 73%); Stem not detected
D:\Image Processing\ImageProcessing_ASS\dataset\train\freshapples\Screen Shot 2018-06-08 at 5.33.27 PM.png,Apple,Fresh,Apple,Fresh,True,Fresh,1.0,Fresh,1.6096543610403038,True,colour KNN won (100% vs defect ripeness rule 95%); Stem present
D:\Image Processing\ImageProcessing_ASS\dataset\train\freshapples\FreshApple (4).jpg,Apple,Fresh,Apple,Fresh,True,Fresh,1.0,Fresh,0.8223543267258332,True,colour KNN won (100% vs defect ripeness rule 67%); Stem present
D:\Image Processing\ImageProcessing_ASS\dataset\train\freshapples\FreshApple (10).jpg,Apple,Fresh,Apple,Fresh,True,Fresh,1.0,Fresh,0.0,True,colour KNN won (100% vs defect ripeness rule 40%); Stem present
D:\Image Processing\ImageProcessing_ASS\dataset\train\freshapples\FreshApple (27).jpg,Apple,Fresh,Apple,Fresh,True,Fresh,0.6931341829527781,Fresh,0.0,True,defect ripeness rule won (85% vs colour KNN 69%); Stem present
D:\Image Processing\ImageProcessing_ASS\dataset\train\freshapples\Screen Shot 2018-06-08 at 5.12.47 PM.png,Apple,Fresh,Apple,Fresh,True,Fresh,1.0,Fresh,0.6671568715364335,False,colour KNN won (100% vs defect ripeness rule 85%); Stem not detected
D:\Image Processing\ImageProcessing_ASS\dataset\train\freshapples\FreshApple (169).jpg,Apple,Fresh,Apple,Fresh,True,Fresh,1.0,Fresh,0.0,False,colour KNN won (100% vs defect ripeness rule 95%); Stem not detected
D:\Image Processing\ImageProcessing_ASS\dataset\train\freshapples\Screen Shot 2018-06-08 at 5.09.10 PM.png,Apple,Fresh,Apple,Fresh,True,Fresh,1.0,Fresh,0.07117781182516798,True,colour KNN won (100% vs defect ripeness rule 97%); Stem present
D:\Image Processing\ImageProcessing_ASS\dataset\train\freshapples\FreshApple (140).jpg,Apple,Fresh,Apple,Fresh,True,Fresh,1.0,Fresh,0.0,True,colour KNN won (100% vs defect ripeness rule 23%); Stem present
D:\Image Processing\ImageProcessing_ASS\dataset\train\freshapples\FreshApple (189).jpg,Apple,Fresh,Apple,Fresh,True,Fresh,1.0,Fresh,0.0,False,colour KNN won (100% vs defect ripeness rule 82%); Stem not detected
D:\Image Processing\ImageProcessing_ASS\dataset\train\freshapples\FreshApple (46).jpg,Apple,Fresh,Apple,Fresh,True,Fresh,1.0,Rotten,8.898464632903748,False,"colour KNN won (100% vs defect ripeness rule 44%); disagreement: colour KNN=Fresh, defect rule=Rotten; Stem not detected"
D:\Image Processing\ImageProcessing_ASS\dataset\train\freshapples\FreshApple (183).jpg,Apple,Fresh,Apple,Fresh,True,Fresh,1.0,Fresh,0.06561347811513821,False,colour KNN won (100% vs defect ripeness rule 94%); Stem not detected
D:\Image Processing\ImageProcessing_ASS\dataset\train\freshapples\FreshApple (74).jpg,Apple,Fresh,Apple,Fresh,True,Fresh,1.0,Fresh,0.07876789871549751,True,colour KNN won (100% vs defect ripeness rule 44%); Stem present
D:\Image Processing\ImageProcessing_ASS\dataset\train\freshapples\Screen Shot 2018-06-08 at 5.01.08 PM.png,Apple,Fresh,Apple,Fresh,True,Fresh,1.0,Fresh,0.05776890411375407,True,colour KNN won (100% vs defect ripeness rule 96%); Stem present
D:\Image Processing\ImageProcessing_ASS\dataset\train\freshapples\Screen Shot 2018-06-08 at 5.20.32 PM.png,Apple,Fresh,Apple,Fresh,True,Rotten,0.6976014739836622,Fresh,0.0,False,colour KNN said Rotten but defect found nothing (defect%=0.0%) -- downgraded to Fresh; colour KNN won (100% vs defect ripeness rule 98%); Stem not detected
D:\Image Processing\ImageProcessing_ASS\dataset\train\freshapples\Screen Shot 2018-06-08 at 5.05.06 PM.png,Apple,Fresh,Apple,Fresh,True,Fresh,0.6588453270614917,Fresh,1.1994949494949494,False,colour KNN won (66% vs defect ripeness rule 65%); Stem not detected
D:\Image Processing\ImageProcessing_ASS\dataset\train\freshapples\FreshApple (115).jpg,Apple,Fresh,Apple,Fresh,True,Fresh,1.0,Fresh,0.15569477730270337,True,colour KNN won (100% vs defect ripeness rule 30%); Stem present
D:\Image Processing\ImageProcessing_ASS\dataset\train\freshapples\FreshApple (85).jpg,Apple,Fresh,Apple,Fresh,True,Fresh,0.6966152614193416,Fresh,0.5000951817788049,True,colour KNN won (70% vs defect ripeness rule 68%); Stem present
D:\Image Processing\ImageProcessing_ASS\dataset\train\freshapples\FreshApple (194).jpg,Apple,Fresh,Apple,Fresh,True,Fresh,1.0,Fresh,0.0,False,colour KNN won (100% vs defect ripeness rule 50%); Stem not detected
D:\Image Processing\ImageProcessing_ASS\dataset\train\freshapples\FreshApple (132).jpg,Apple,Fresh,Apple,Fresh,True,Fresh,1.0,Fresh,0.0,True,colour KNN won (100% vs defect ripeness rule 46%); Stem present
D:\Image Processing\ImageProcessing_ASS\dataset\train\freshapples\FreshApple (142).jpg,Apple,Fresh,Apple,Fresh,True,Fresh,1.0,Fresh,0.0,True,colour KNN won (100% vs defect ripeness rule 36%); Stem present
D:\Image Processing\ImageProcessing_ASS\dataset\train\freshapples\FreshApple (37).jpg,Apple,Fresh,Apple,Fresh,True,,0.0,Fresh,6.065096156250782,False,defect ripeness rule only (77%); Stem not detected
D:\Image Processing\ImageProcessing_ASS\dataset\train\freshapples\Screen Shot 2018-06-08 at 5.03.17 PM.png,Apple,Fresh,Apple,Rotten,False,Rotten,0.6011989944542785,Rotten,8.187035003325548,False,colour KNN won (60% vs defect ripeness rule 41%); Stem not detected
D:\Image Processing\ImageProcessing_ASS\dataset\train\freshapples\FreshApple (29).jpg,Apple,Fresh,Apple,Fresh,True,Fresh,1.0,Fresh,0.0,False,colour KNN won (100% vs defect ripeness rule 32%); Stem not detected
D:\Image Processing\ImageProcessing_ASS\dataset\train\freshapples\FreshApple (121).jpg,Apple,Fresh,Apple,Fresh,True,Fresh,1.0,Fresh,0.3682311912304018,True,colour KNN won (100% vs defect ripeness rule 33%); Stem present
D:\Image Processing\ImageProcessing_ASS\dataset\train\freshapples\FreshApple (75).jpg,Apple,Fresh,Apple,Fresh,True,Fresh,1.0,Fresh,0.0,True,colour KNN won (100% vs defect ripeness rule 44%); Stem present
D:\Image Processing\ImageProcessing_ASS\dataset\train\freshapples\FreshApple (186).jpg,Apple,Fresh,Apple,Fresh,True,Fresh,1.0,Fresh,0.0,False,colour KNN won (100% vs defect ripeness rule 86%); Stem not detected
D:\Image Processing\ImageProcessing_ASS\dataset\train\freshapples\FreshApple (181).jpg,Apple,Fresh,Apple,Fresh,True,Fresh,1.0,Fresh,0.0,True,colour KNN won (100% vs defect ripeness rule 26%); Stem present
D:\Image Processing\ImageProcessing_ASS\dataset\train\freshapples\FreshApple (122).jpg,Apple,Fresh,Apple,Fresh,True,Fresh,1.0,Fresh,0.4071559463699524,False,colour KNN won (100% vs defect ripeness rule 66%); Stem not detected
D:\Image Processing\ImageProcessing_ASS\dataset\train\freshapples\FreshApple (108).jpg,Apple,Fresh,Apple,Fresh,True,Fresh,1.0,Fresh,0.0,False,colour KNN won (100% vs defect ripeness rule 80%); Stem not detected
D:\Image Processing\ImageProcessing_ASS\dataset\train\freshapples\FreshApple (184).jpg,Apple,Fresh,Apple,Fresh,True,Fresh,1.0,Fresh,0.24157229231948138,False,colour KNN won (100% vs defect ripeness rule 97%); Stem not detected
D:\Image Processing\ImageProcessing_ASS\dataset\train\freshapples\FreshApple (103).jpg,Apple,Fresh,Apple,Fresh,True,Fresh,1.0,Fresh,0.0,False,colour KNN won (100% vs defect ripeness rule 68%); Stem not detected
D:\Image Processing\ImageProcessing_ASS\dataset\train\freshapples\Screen Shot 2018-06-08 at 5.14.48 PM.png,Apple,Fresh,Apple,Fresh,True,Fresh,0.6603040829447193,Fresh,0.0,False,defect ripeness rule won (96% vs colour KNN 66%); Stem not detected
D:\Image Processing\ImageProcessing_ASS\dataset\train\freshapples\FreshApple (13).jpg,Apple,Fresh,Apple,Fresh,True,Fresh,1.0,Fresh,0.0,False,colour KNN won (100% vs defect ripeness rule 66%); Stem not detected
D:\Image Processing\ImageProcessing_ASS\dataset\train\freshapples\FreshApple (60).jpg,Apple,Fresh,Apple,Fresh,True,Fresh,1.0,Fresh,0.0867944126538481,True,colour KNN won (100% vs defect ripeness rule 96%); Stem present
D:\Image Processing\ImageProcessing_ASS\dataset\train\freshapples\Screen Shot 2018-06-08 at 5.22.58 PM.png,Apple,Fresh,Apple,Fresh,True,Fresh,0.8057471345464469,Fresh,0.0,False,defect ripeness rule won (98% vs colour KNN 81%); Stem not detected
D:\Image Processing\ImageProcessing_ASS\dataset\train\freshapples\Screen Shot 2018-06-08 at 4.59.57 PM.png,Apple,Fresh,Apple,Fresh,True,Fresh,1.0,Fresh,0.48715310051785954,True,colour KNN won (100% vs defect ripeness rule 98%); Stem present
D:\Image Processing\ImageProcessing_ASS\dataset\train\freshapples\FreshApple (61).jpg,Apple,Fresh,Apple,Fresh,True,Fresh,1.0,Fresh,0.05134180749188172,True,colour KNN won (100% vs defect ripeness rule 90%); Stem present
D:\Image Processing\ImageProcessing_ASS\dataset\train\freshapples\Screen Shot 2018-06-08 at 5.26.52 PM.png,Apple,Fresh,Apple,Fresh,True,Fresh,1.0,Fresh,1.1045084614390905,True,colour KNN won (100% vs defect ripeness rule 92%); Stem present
D:\Image Processing\ImageProcessing_ASS\dataset\train\freshapples\FreshApple (66).jpg,Apple,Fresh,Apple,Fresh,True,Fresh,0.694027454375785,Fresh,0.2789022986320218,True,colour KNN won (69% vs defect ripeness rule 26%); Stem present
D:\Image Processing\ImageProcessing_ASS\dataset\train\freshapples\FreshApple (164).jpg,Apple,Fresh,Apple,Fresh,True,Fresh,1.0,Fresh,0.0037615550268480986,False,colour KNN won (100% vs defect ripeness rule 79%); Stem not detected
D:\Image Processing\ImageProcessing_ASS\dataset\train\freshapples\images (5).jpg,Apple,Fresh,Apple,Fresh,True,Fresh,0.6763042886397058,Fresh,1.0243277848911652,True,defect ripeness rule won (97% vs colour KNN 68%); Stem present
D:\Image Processing\ImageProcessing_ASS\dataset\train\freshapples\FreshApple (19).jpg,Apple,Fresh,Apple,Fresh,True,Fresh,1.0,Fresh,0.0,True,colour KNN won (100% vs defect ripeness rule 38%); Stem present
D:\Image Processing\ImageProcessing_ASS\dataset\train\freshapples\FreshApple (193).jpg,Apple,Fresh,Apple,Fresh,True,Fresh,1.0,Fresh,0.8439672295123404,True,colour KNN won (100% vs defect ripeness rule 40%); Stem present
D:\Image Processing\ImageProcessing_ASS\dataset\train\freshapples\Screen Shot 2018-06-08 at 5.11.59 PM.png,Apple,Fresh,Apple,Fresh,True,Fresh,0.8838090756134842,Fresh,5.100412288868201,False,defect ripeness rule won (97% vs colour KNN 88%); Stem not detected
D:\Image Processing\ImageProcessing_ASS\dataset\train\freshapples\Screen Shot 2018-06-08 at 4.59.36 PM.png,Apple,Fresh,Apple,Fresh,True,Fresh,1.0,Fresh,0.06819498159669675,True,colour KNN won (100% vs defect ripeness rule 98%); Stem present
D:\Image Processing\ImageProcessing_ASS\dataset\train\freshapples\Screen Shot 2018-06-08 at 5.18.37 PM.png,Apple,Fresh,Apple,Fresh,True,Fresh,1.0,Fresh,0.13673728745395172,False,colour KNN won (100% vs defect ripeness rule 96%); Stem not detected
D:\Image Processing\ImageProcessing_ASS\dataset\train\freshapples\images (3).jpg,Apple,Fresh,Apple,Fresh,True,Fresh,0.9088540888177277,Fresh,0.6953230721837765,True,colour KNN won (91% vs defect ripeness rule 91%); Stem present
D:\Image Processing\ImageProcessing_ASS\dataset\train\freshapples\FreshApple (52).jpg,Apple,Fresh,Apple,Fresh,True,Fresh,1.0,Rotten,24.62564900047656,False,"colour KNN won (100% vs defect ripeness rule 100%); disagreement: colour KNN=Fresh, defect rule=Rotten; Stem not detected"
D:\Image Processing\ImageProcessing_ASS\dataset\train\freshapples\Screen Shot 2018-06-08 at 5.10.37 PM.png,Apple,Fresh,Apple,Fresh,True,Fresh,1.0,Fresh,1.1808974820863856,True,colour KNN won (100% vs defect ripeness rule 97%); Stem present
D:\Image Processing\ImageProcessing_ASS\dataset\train\freshapples\Screen Shot 2018-06-08 at 5.04.59 PM.png,Apple,Fresh,Apple,Fresh,True,Fresh,0.7126831095969893,Fresh,0.990934008011807,False,colour KNN won (71% vs defect ripeness rule 62%); Stem not detected
D:\Image Processing\ImageProcessing_ASS\dataset\train\freshapples\Screen Shot 2018-06-08 at 5.11.08 PM.png,Apple,Fresh,Apple,Fresh,True,Fresh,0.7149373230176417,Fresh,0.06154355982152368,False,defect ripeness rule won (94% vs colour KNN 71%); Stem not detected
D:\Image Processing\ImageProcessing_ASS\dataset\train\freshapples\FreshApple (89).jpg,Apple,Fresh,Apple,Fresh,True,Fresh,1.0,Fresh,0.4236676942481156,False,colour KNN won (100% vs defect ripeness rule 69%); Stem not detected
D:\Image Processing\ImageProcessing_ASS\dataset\train\freshapples\FreshApple (177).jpg,Apple,Fresh,Apple,Fresh,True,Fresh,1.0,Fresh,1.0592651651053087,False,colour KNN won (100% vs defect ripeness rule 80%); Stem not detected
D:\Image Processing\ImageProcessing_ASS\dataset\train\freshapples\Screen Shot 2018-06-08 at 5.26.47 PM.png,Apple,Fresh,Apple,Unripe,False,Unripe,1.0,Fresh,0.21314909411635002,False,"colour KNN won (100% vs defect ripeness rule 17%); disagreement: colour KNN=Unripe, defect rule=Fresh; Stem not detected"
D:\Image Processing\ImageProcessing_ASS\dataset\train\freshapples\Screen Shot 2018-06-08 at 5.33.33 PM.png,Apple,Fresh,Apple,Fresh,True,Fresh,1.0,Fresh,0.8473876798635375,True,colour KNN won (100% vs defect ripeness rule 81%); Stem present
D:\Image Processing\ImageProcessing_ASS\dataset\train\freshapples\Screen Shot 2018-06-08 at 5.26.13 PM.png,Apple,Fresh,Apple,Fresh,True,Fresh,1.0,Fresh,0.13689356901090635,False,colour KNN won (100% vs defect ripeness rule 92%); Stem not detected
D:\Image Processing\ImageProcessing_ASS\dataset\train\freshapples\FreshApple (192).jpg,Apple,Fresh,Apple,Fresh,True,Fresh,1.0,Fresh,0.5266802964376304,True,colour KNN won (100% vs defect ripeness rule 35%); Stem present
D:\Image Processing\ImageProcessing_ASS\dataset\train\freshapples\Screen Shot 2018-06-08 at 5.22.53 PM.png,Apple,Fresh,Apple,Fresh,True,Fresh,1.0,Fresh,0.18719106162680732,True,colour KNN won (100% vs defect ripeness rule 96%); Stem present
D:\Image Processing\ImageProcessing_ASS\dataset\train\freshapples\FreshApple (104).jpg,Apple,Fresh,Apple,Fresh,True,Fresh,1.0,Fresh,0.6243401908824429,True,colour KNN won (100% vs defect ripeness rule 77%); Stem present
D:\Image Processing\ImageProcessing_ASS\dataset\train\freshapples\FreshApple (152).jpg,Apple,Fresh,Apple,Fresh,True,Fresh,1.0,Fresh,0.0,False,colour KNN won (100% vs defect ripeness rule 39%); Stem not detected
D:\Image Processing\ImageProcessing_ASS\dataset\train\freshapples\FreshApple (175).jpg,Apple,Fresh,Apple,Fresh,True,Fresh,0.7982868693625655,Fresh,1.9470588618436906,True,colour KNN won (80% vs defect ripeness rule 51%); Stem present
D:\Image Processing\ImageProcessing_ASS\dataset\train\freshapples\FreshApple (65).jpg,Apple,Fresh,Apple,Fresh,True,Rotten,0.6391162544278022,Fresh,0.4109320757529278,True,colour KNN said Rotten but defect found nothing (defect%=0.4%) -- downgraded to Fresh; colour KNN won (100% vs defect ripeness rule 34%); Stem present
D:\Image Processing\ImageProcessing_ASS\dataset\train\freshapples\Screen Shot 2018-06-08 at 5.11.16 PM.png,Apple,Fresh,Apple,Fresh,True,Fresh,1.0,Fresh,0.475124455994239,True,colour KNN won (100% vs defect ripeness rule 98%); Stem present
D:\Image Processing\ImageProcessing_ASS\dataset\train\freshapples\FreshApple (149).jpg,Apple,Fresh,Apple,Fresh,True,Fresh,1.0,Fresh,0.10360814764721743,False,colour KNN won (100% vs defect ripeness rule 97%); Stem not detected
D:\Image Processing\ImageProcessing_ASS\dataset\train\freshapples\Screen Shot 2018-06-08 at 4.59.49 PM.png,Apple,Fresh,Apple,Fresh,True,Fresh,0.7155725230115371,Fresh,0.04804841644687072,False,defect ripeness rule won (95% vs colour KNN 72%); Stem not detected
D:\Image Processing\ImageProcessing_ASS\dataset\train\freshapples\FreshApple (99).jpg,Apple,Fresh,Apple,Fresh,True,Fresh,1.0,Fresh,0.0,True,colour KNN won (100% vs defect ripeness rule 84%); Stem present
D:\Image Processing\ImageProcessing_ASS\dataset\train\freshapples\FreshApple (120).jpg,Apple,Fresh,Apple,Fresh,True,Fresh,1.0,Fresh,0.0,False,colour KNN won (100% vs defect ripeness rule 93%); Stem not detected
D:\Image Processing\ImageProcessing_ASS\dataset\train\freshapples\Screen Shot 2018-06-08 at 5.28.42 PM.png,Apple,Fresh,Apple,Unripe,False,Unripe,0.7833834415323733,Fresh,1.312874374333306,False,"colour KNN won (78% vs defect ripeness rule 48%); disagreement: colour KNN=Unripe, defect rule=Fresh; Stem not detected"
D:\Image Processing\ImageProcessing_ASS\dataset\train\freshapples\Screen Shot 2018-06-08 at 5.21.56 PM.png,Apple,Fresh,Apple,Fresh,True,Fresh,0.7468153742701383,Fresh,0.5785983617214927,False,colour KNN won (75% vs defect ripeness rule 43%); Stem not detected
D:\Image Processing\ImageProcessing_ASS\dataset\train\freshapples\Screen Shot 2018-06-08 at 5.22.48 PM.png,Apple,Fresh,Apple,Fresh,True,Fresh,1.0,Fresh,0.3297343616109683,True,colour KNN won (100% vs defect ripeness rule 76%); Stem present
D:\Image Processing\ImageProcessing_ASS\dataset\train\freshapples\FreshApple (153).jpg,Apple,Fresh,Apple,Fresh,True,Fresh,1.0,Fresh,0.0,False,colour KNN won (100% vs defect ripeness rule 95%); Stem not detected
D:\Image Processing\ImageProcessing_ASS\dataset\train\freshapples\FreshApple (18).jpg,Apple,Fresh,Apple,Fresh,True,Fresh,1.0,Fresh,0.19086571233810498,True,colour KNN won (100% vs defect ripeness rule 51%); Stem present
D:\Image Processing\ImageProcessing_ASS\dataset\train\freshapples\FreshApple (165).jpg,Apple,Fresh,Apple,Fresh,True,Fresh,0.7804471383608551,Fresh,0.09607563004275203,True,colour KNN won (78% vs defect ripeness rule 13%); Stem present
D:\Image Processing\ImageProcessing_ASS\dataset\train\freshapples\FreshApple (91).jpg,Apple,Fresh,Apple,Fresh,True,Fresh,1.0,Fresh,0.0,False,colour KNN won (100% vs defect ripeness rule 79%); Stem not detected
D:\Image Processing\ImageProcessing_ASS\dataset\train\freshapples\Screen Shot 2018-06-08 at 5.11.41 PM.png,Apple,Fresh,Apple,Fresh,True,Fresh,1.0,Fresh,0.5025208694933465,True,colour KNN won (100% vs defect ripeness rule 95%); Stem present
D:\Image Processing\ImageProcessing_ASS\dataset\train\freshapples\FreshApple (68).jpg,Apple,Fresh,Apple,Fresh,True,Fresh,0.667151466633592,Fresh,7.479908162805152,False,colour KNN won (67% vs defect ripeness rule 13%); Stem not detected
D:\Image Processing\ImageProcessing_ASS\dataset\train\freshapples\Screen Shot 2018-06-08 at 5.12.34 PM.png,Apple,Fresh,Apple,Fresh,True,Fresh,1.0,Fresh,0.0,True,colour KNN won (100% vs defect ripeness rule 87%); Stem present
D:\Image Processing\ImageProcessing_ASS\dataset\train\freshapples\Screen Shot 2018-06-08 at 5.17.22 PM.png,Apple,Fresh,Apple,Fresh,True,Fresh,1.0,Fresh,0.0,False,colour KNN won (100% vs defect ripeness rule 99%); Stem not detected
D:\Image Processing\ImageProcessing_ASS\dataset\train\freshapples\images (6).jpg,Apple,Fresh,Apple,Fresh,True,Fresh,1.0,Fresh,0.20444530397425095,False,colour KNN won (100% vs defect ripeness rule 98%); Stem not detected
D:\Image Processing\ImageProcessing_ASS\dataset\train\freshapples\FreshApple (126).jpg,Apple,Fresh,Apple,Fresh,True,Fresh,1.0,Fresh,0.228208631114304,True,colour KNN won (100% vs defect ripeness rule 27%); Stem present
D:\Image Processing\ImageProcessing_ASS\dataset\train\freshapples\FreshApple (158).jpg,Apple,Fresh,Apple,Fresh,True,Fresh,1.0,Fresh,0.3430267083609172,True,colour KNN won (100% vs defect ripeness rule 84%); Stem present
D:\Image Processing\ImageProcessing_ASS\dataset\train\freshapples\FreshApple (195).jpg,Apple,Fresh,Apple,Fresh,True,Fresh,0.7990482310697531,Fresh,0.0,True,colour KNN won (80% vs defect ripeness rule 74%); Stem present
D:\Image Processing\ImageProcessing_ASS\dataset\train\freshapples\FreshApple (38).jpg,Apple,Fresh,Apple,Fresh,True,Fresh,0.6723695902957932,Fresh,3.751925295728035,True,colour KNN won (67% vs defect ripeness rule 28%); Stem present
D:\Image Processing\ImageProcessing_ASS\dataset\train\freshapples\FreshApple (55).jpg,Apple,Fresh,Apple,Fresh,True,Fresh,1.0,Fresh,3.7818708255861226,True,colour KNN won (100% vs defect ripeness rule 21%); Stem present
D:\Image Processing\ImageProcessing_ASS\dataset\train\freshapples\FreshApple (39).jpg,Apple,Fresh,Apple,Fresh,True,Fresh,1.0,Rotten,10.31838464719483,True,"colour KNN won (100% vs defect ripeness rule 52%); disagreement: colour KNN=Fresh, defect rule=Rotten; Stem present"
D:\Image Processing\ImageProcessing_ASS\dataset\train\freshapples\Screen Shot 2018-06-08 at 5.22.15 PM.png,Apple,Fresh,Apple,Fresh,True,Fresh,1.0,Fresh,1.0653980166175288,False,colour KNN won (100% vs defect ripeness rule 90%); Stem not detected
D:\Image Processing\ImageProcessing_ASS\dataset\train\freshapples\FreshApple (105).jpg,Apple,Fresh,Apple,Fresh,True,Fresh,1.0,Fresh,0.0,True,colour KNN won (100% vs defect ripeness rule 82%); Stem present
D:\Image Processing\ImageProcessing_ASS\dataset\train\freshapples\Screen Shot 2018-06-08 at 5.04.48 PM.png,Apple,Fresh,Apple,Fresh,True,Fresh,1.0,Fresh,1.5683504062168845,True,colour KNN won (100% vs defect ripeness rule 74%); Stem present
D:\Image Processing\ImageProcessing_ASS\dataset\train\freshapples\FreshApple (180).jpg,Apple,Fresh,Apple,Fresh,True,Fresh,1.0,Fresh,0.0,True,colour KNN won (100% vs defect ripeness rule 59%); Stem present
D:\Image Processing\ImageProcessing_ASS\dataset\train\freshapples\FreshApple (107).jpg,Apple,Fresh,Apple,Fresh,True,Fresh,1.0,Fresh,0.2218020538387547,False,colour KNN won (100% vs defect ripeness rule 52%); Stem not detected
D:\Image Processing\ImageProcessing_ASS\dataset\train\freshapples\Screen Shot 2018-06-08 at 5.20.08 PM.png,Apple,Fresh,Apple,Fresh,True,Fresh,0.8642725396663982,Fresh,0.09719636403460738,False,defect ripeness rule won (95% vs colour KNN 86%); Stem not detected
D:\Image Processing\ImageProcessing_ASS\dataset\train\freshapples\Screen Shot 2018-06-08 at 5.04.05 PM.png,Apple,Fresh,Apple,Fresh,True,Fresh,1.0,Fresh,0.136717011964761,True,colour KNN won (100% vs defect ripeness rule 97%); Stem present
D:\Image Processing\ImageProcessing_ASS\dataset\train\freshapples\Screen Shot 2018-06-08 at 5.25.02 PM.png,Apple,Fresh,Apple,Fresh,True,Fresh,0.9058634257296768,Fresh,0.16268596892462217,True,colour KNN won (91% vs defect ripeness rule 87%); Stem present
